File path:	C:\Users\jens.dujardin\OneDrive - VLIZ\Jens_Dujardin_backup\Documents\Labstaf\45O\1m_45O_27072023.rsf

STAF system			STAF setup						Temperatures at start
LabSTAF:	21-2937-012		416 nm:	0.3638		1st pulse:	100	 µs	Sample:	20.8	°C
Mode:	Auto FLC		452 nm:	0.4502		2nd pulse:	100	 µs	System:	26.8	°C
Date:	Jul 27, 2023		452 nm:	0.4635		Start gap:	400	 µs
Time:	19:05		473 nm:	0.3983		End gap:	12800	 µs
Duration:	27:43 s		495 nm:	0.2488		Gap steps:	11	
Acqs:	1386		534 nm:	0.331		Seq interval:	120	 ms
Saqs:	1386		594 nm:	0.3735		Seq / Acq:	8
Groups:	126		622 nm:	0.1987		Acq / Saq:	1
						Group time:	11	 s

File details
Blank:	0
Project:	Canoe
Reference:	JENS
Run by:	
Note:	

Data processing				Flat white coefficients
Set Fv/Fm:	0.5	 (not applied)		MLED:	1.393
Ka:	11800			ALED:	1.211
PEC:	0.3486	 (DWM value)				
cPEC:	1.089
cPEP:	0.8694
aLHII:	0.0465

rPE fit
Alpha:	0.3539
Beta:	
Ek:	291	 µmol photons / m² / s
EkBeta:	-1234	 µmol photons / m² / s
rPm:	103.1
JVPIIm:	4.794	 µmol photons / m³ / s
GOPIIm:	4.315	 mmol O2 / m³ / h

		Up																					Dark											Down
								Fo	Fm	Fv	Fv/Fm	Fv/Fmc						AlphaPII	SigmaPII	Rho	TauS																Fo	Fm	Fv	Fv/Fm	Fv/Fmc								AlphaPII	SigmaPII	Rho	TauS
	E	Fb	rP	rP fit	JVPII	GOPII	JPII	F'	Fm'	Fq'	Fq'/Fm'	Fq'/Fmc'	Fv'/Fmc'	Fq'/Fv'	EkS	Ekt'	Ekt	AlphaPII'	SigmaPII'	Rho'	TauS'	Taut'	Fo	Fm	Fv	Fv/Fm	Fv/Fmc	Fv'/Fmc'	EkS	AlphaPII	SigmaPII	Rho	TauS	rP	JVPII	GOPII	JPII	F'	Fm'	Fq'	Fq'/Fm'	Fq'/Fmc'	Fv'/Fmc'	Fq'/Fv'	EkS	Ekt'	Ekt	AlphaPII'	SigmaPII'	Rho'	TauS'	Taut'
	0	0		0				1.563	2.503	0.9404	0.3756	0.3756	0.3756		71			0.07714	2.728	0.2902	9861																	1.219	1.908	0.6881	0.3607	0.3607	0.3143				173	0.07619	2.694	0.2588	4101	
	19	0	4.7	6.5	0.2167	0.195	23.59	1.616	2.511	0.8951	0.3564	0.3564	0.3764	0.9471	182	120	120	0.07081	2.504	0.1795	4197	6359												4.297	0.1998	0.1798	26.37	1.262	1.912	0.6507	0.3403	0.3403	0.3149	1.081			186	0.06936	2.453	0.1757	4176	
	35	0	11.8	11.7	0.5469	0.4922	41.29	1.636	2.446	0.8103	0.3313	0.3313	0.3702	0.8947	154	157	155	0.07122	2.518	0.1315	4933	4833																														
	58	0	18.2	18.6	0.8452	0.7606	63.23	1.701	2.479	0.7779	0.3138	0.3138	0.3734	0.8403	195	162	161	0.07007	2.478	0.1675	3963	4771																														
	86	0	26	26.3	1.211	1.09	81.97	1.869	2.681	0.8114	0.3027	0.3027	0.3918	0.7725	138	159	166	0.06664	2.357	0.1745	5861	5090																														
	119	0	34.3	34.6	1.594	1.435	118	1.717	2.415	0.698	0.289	0.289	0.3673	0.7868	218	237	232	0.06806	2.407	0.156	3648	3345												34.33	1.596	1.437	131.1	1.343	1.889	0.5467	0.2894	0.2894	0.3123	0.9266	771	641	355	0.06422	2.271	0.1615	2368	1090
	159	0	43.2	43.3	2.011	1.81	153.7	1.699	2.333	0.6338	0.2717	0.2717	0.3592	0.7565	148	271	259	0.06901	2.44	0.1706	5285	2885												42.13	1.959	1.763	164.6	1.281	1.742	0.461	0.2647	0.2647	0.295	0.8971	721	566	591	0.06234	2.204	0.1375	1467	1202
	207	0	51.7	52.4	2.404	2.163	180.3	1.628	2.169	0.5413	0.2495	0.2495	0.3427	0.7283	521	309	281	0.06458	2.284	0.1335	1605	2711												49.19	2.287	2.059	204.6	1.236	1.621	0.385	0.2375	0.2375	0.2804	0.847	607	453	171	0.06303	2.229	0.1059	5013	1413
	264	0	61.9	61.4	2.877	2.589	222.4	1.557	2.034	0.4772	0.2346	0.2346	0.3284	0.7144	204	369	323	0.0637	2.253	0.1019	4149	2298																														
	333	0	68.7	70.2	3.194	2.874	261.2	1.319	1.662	0.3428	0.2063	0.2063	0.2854	0.7227	198	484	367	0.05862	2.073	0.0431	4651	1905																														
	415	0	77.9	78.2	3.622	3.259	302.3	1.263	1.555	0.2921	0.1878	0.1878	0.2721	0.6902	201	523	378	0.057	2.016	0.1098	4715	1813																														
	514	0	83.4	85.4	3.876	3.488	298.9	1.124	1.341	0.2173	0.1621	0.1621	0.2437	0.6651	622	585	379	0.04722	1.67	0.03931	1840	1956	0.9671	1.385	0.4182	0.3019	0.3019	0.2498	94	0.06227	2.202	0.1775	9200																			

		Gaq parameters
	From linear regression
Base:		1.798	1.798	1.798	1.798	1.798	1.798	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.799	1.8	1.8	1.802	1.802	1.802	1.802	1.802	1.802	1.804	1.804	1.805	1.804	1.804	1.804	1.807	1.807	1.808	1.808	1.807	1.807	1.811	1.81	1.81	1.811	1.811	1.81	1.815	1.815	1.815	1.815	1.814	1.815	1.822	1.821	1.82	1.818	1.818	1.818	1.824	1.824	1.823	1.823	1.824	1.823	1.829	1.828	1.828	1.827	1.826	1.826	1.834	1.83	1.829	1.83	1.83	1.83	1.837	1.835	1.834	1.835	1.834	1.834	1.798	1.798	1.798	1.798	1.798	1.798	1.811	1.811	1.811	1.813	1.813	1.814	1.814	1.813	1.814	1.814	1.814	1.814	1.811	1.811	1.811	1.811	1.81	1.811	1.808	1.807	1.808	1.807	1.808	1.808	1.8	1.799	1.799	1.799	1.799	1.799	1.798	1.798	1.798	1.798	1.798	1.798	1.798
F', Fo:		1.581	1.604	1.681	1.644	1.598	1.651	1.806	1.711	1.745	1.624	1.673	1.698	1.652	1.624	1.626	1.733	1.791	1.873	1.699	1.743	1.681	1.637	1.647	1.852	1.781	1.722	1.61	1.742	1.887	1.823	1.779	1.74	1.66	1.894	1.853	1.806	1.79	2.038	2.014	1.878	1.756	1.758	1.665	1.645	1.875	1.914	1.707	1.761	1.81	1.775	1.705	1.713	1.78	1.991	1.852	1.768	1.635	1.43	1.495	1.652	1.558	1.53	1.577	1.72	1.669	1.515	1.407	1.432	1.339	1.204	1.285	1.477	1.342	1.26	1.277	1.251	1.267	1.206	1.132	1.097	1.165	1.143	1.164	1.205	1.067	0.9839	0.9511	0.9768	0.9728	0.9851	1.005	1.089	1.142	1.185	1.162	1.256	1.284	1.278	1.319	1.191	1.137	1.314	1.492	1.342	1.189	1.237	1.274	1.332	1.343	1.495	1.366	1.324	1.417	1.362	1.334	1.294	1.256	1.385	1.457	1.326	1.178	1.242	1.356	1.322	1.323	1.289
Fm', Fm:		2.342	2.419	2.528	2.484	2.367	2.494	2.592	2.444	2.501	2.364	2.441	2.483	2.403	2.348	2.375	2.531	2.628	2.749	2.477	2.56	2.44	2.404	2.406	2.584	2.513	2.431	2.281	2.467	2.685	2.52	2.489	2.407	2.302	2.643	2.609	2.45	2.452	2.833	2.786	2.6	2.408	2.325	2.221	2.205	2.557	2.627	2.314	2.34	2.411	2.342	2.26	2.265	2.372	2.583	2.411	2.281	2.11	1.833	1.93	2.083	1.965	1.92	2.022	2.201	2.151	1.872	1.74	1.776	1.653	1.474	1.594	1.763	1.602	1.524	1.546	1.514	1.53	1.429	1.338	1.3	1.378	1.353	1.376	1.682	1.49	1.37	1.311	1.341	1.333	1.219	1.262	1.357	1.435	1.513	1.492	1.601	1.63	1.631	1.686	1.512	1.443	1.716	1.977	1.773	1.548	1.623	1.68	1.795	1.835	2.045	1.85	1.79	1.91	1.946	1.906	1.84	1.79	1.982	2.093	1.984	1.76	1.834	1.984	1.921	1.916	1.891
	From rho fit
F', Fo:		1.508	1.544	1.611	1.579	1.519	1.577	1.734	1.646	1.642	1.534	1.596	1.632	1.581	1.547	1.562	1.639	1.713	1.791	1.623	1.666	1.616	1.559	1.556	1.783	1.708	1.637	1.537	1.662	1.803	1.747	1.719	1.662	1.607	1.818	1.775	1.743	1.744	1.97	1.95	1.813	1.678	1.71	1.616	1.592	1.814	1.848	1.658	1.705	1.754	1.736	1.651	1.654	1.71	1.936	1.797	1.726	1.593	1.395	1.461	1.622	1.514	1.5	1.537	1.677	1.63	1.481	1.375	1.408	1.313	1.18	1.264	1.461	1.321	1.239	1.257	1.236	1.247	1.192	1.123	1.087	1.156	1.128	1.15	1.174	1.038	0.9607	0.9212	0.9484	0.9426	0.9663	0.982	1.067	1.117	1.159	1.137	1.23	1.256	1.244	1.284	1.161	1.107	1.284	1.45	1.306	1.161	1.206	1.244	1.292	1.302	1.443	1.333	1.292	1.384	1.323	1.284	1.24	1.188	1.334	1.405	1.268	1.121	1.186	1.304	1.267	1.268	1.23
Fm', Fm:		2.403	2.45	2.592	2.535	2.437	2.537	2.632	2.483	2.532	2.402	2.483	2.534	2.462	2.389	2.395	2.57	2.669	2.795	2.516	2.604	2.491	2.434	2.444	2.596	2.533	2.462	2.292	2.497	2.717	2.52	2.502	2.438	2.314	2.664	2.621	2.458	2.46	2.842	2.808	2.612	2.43	2.333	2.24	2.216	2.57	2.635	2.326	2.34	2.432	2.35	2.272	2.277	2.372	2.583	2.419	2.289	2.117	1.851	1.941	2.09	1.965	1.938	2.022	2.212	2.151	1.879	1.74	1.769	1.663	1.474	1.584	1.774	1.619	1.53	1.552	1.52	1.53	1.42	1.338	1.294	1.378	1.353	1.376	1.682	1.49	1.376	1.325	1.35	1.342	1.225	1.262	1.374	1.441	1.513	1.498	1.608	1.64	1.641	1.686	1.518	1.443	1.723	1.995	1.783	1.558	1.63	1.687	1.805	1.845	2.045	1.868	1.8	1.921	1.964	1.94	1.876	1.816	2.017	2.129	2.018	1.786	1.867	2.018	1.959	1.954	1.925
Fq', Fv:		0.8954	0.9058	0.9817	0.9563	0.9179	0.9595	0.8979	0.8372	0.8899	0.8689	0.8878	0.9024	0.8811	0.842	0.8326	0.9314	0.9563	1.004	0.8936	0.9378	0.8741	0.875	0.8888	0.8135	0.8257	0.8247	0.7552	0.8357	0.9138	0.773	0.7826	0.7761	0.7068	0.8462	0.8468	0.7154	0.7167	0.8716	0.8581	0.799	0.7527	0.6231	0.6242	0.6242	0.7563	0.7873	0.6686	0.6357	0.6773	0.6146	0.6208	0.6227	0.6627	0.6471	0.622	0.5628	0.5247	0.4556	0.4799	0.4682	0.451	0.438	0.4849	0.535	0.5207	0.398	0.365	0.3614	0.3502	0.2945	0.3209	0.3129	0.298	0.2908	0.2956	0.2839	0.283	0.2277	0.215	0.2069	0.2223	0.2252	0.2262	0.5083	0.4521	0.4153	0.4043	0.4012	0.3991	0.259	0.2799	0.3066	0.3235	0.3535	0.3611	0.3773	0.384	0.3965	0.4021	0.3573	0.3366	0.4386	0.5448	0.4775	0.3976	0.424	0.4433	0.5128	0.5429	0.6018	0.5344	0.5078	0.5369	0.6406	0.656	0.6362	0.628	0.6825	0.7238	0.7509	0.665	0.6813	0.714	0.6919	0.6863	0.6946
Rho', Rho:		0.2825	0.324	0.3093	0.2653	0.2623	0.2936	0.224	0.2308	0.1164	0.1206	0.2117	0.2554	0.2595	0.2075	0.262	0.1215	0.2097	0.2267	0.2019	0.1719	0.2213	0.1229	0.1215	0.1526	0.186	0.1125	0.1257	0.1019	0.1145	0.0822	0.1911	0.1068	0.1909	0.1811	0.1472	0.1022	0.2244	0.1631	0.1877	0.1229	0.1043	0.1745	0.1599	0.1621	0.1704	0.1317	0.1676	0.08686	0.1593	0.2106	0.1568	0.1557	0.09622	0.08041	0.05902	0.1438	0.1741	0.1572	0.1648	0.09236	0.08232	0.1297	0.05602	0.1394	0.1275	0.05587	0.04799	0.03002	0.0294	0.06499	0.05678	0.1039	0.1037	0.1172	0.1508	0.06753	0.02655	0.04582	0.05387	0.009817	0.08376	0.009774	0.009654	0.1527	0.1499	0.2125	0.1752	0.1723	0.1974	0.1117	0.07231	0.03055	0.07861	0.08343	0.1243	0.1418	0.1552	0.1166	0.08975	0.06208	0.05733	0.1586	0.1565	0.1701	0.0849	0.1383	0.1265	0.1645	0.1713	0.1294	0.1672	0.1781	0.1768	0.2378	0.2021	0.1827	0.1151	0.2028	0.2046	0.2553	0.2545	0.2172	0.2995	0.264	0.2622	0.2448
AlphaPII', AlphaPII:		0.07879	0.07741	0.07742	0.07509	0.07862	0.07763	0.07214	0.07301	0.07518	0.07092	0.07423	0.07476	0.0766	0.07587	0.07427	0.073	0.07383	0.0758	0.07257	0.07052	0.07081	0.06933	0.07118	0.06964	0.07189	0.07246	0.07147	0.06905	0.06889	0.06714	0.06918	0.07003	0.06994	0.07114	0.07228	0.06752	0.06614	0.06662	0.06801	0.06579	0.07095	0.06885	0.06903	0.06902	0.06754	0.06665	0.06624	0.06456	0.06804	0.06778	0.06957	0.07063	0.07091	0.06509	0.06342	0.06438	0.06606	0.06446	0.06512	0.06032	0.06623	0.0627	0.06215	0.06371	0.06412	0.06096	0.05953	0.05735	0.05815	0.05947	0.05542	0.05297	0.0573	0.05803	0.0604	0.05228	0.05582	0.04855	0.04847	0.04401	0.04722	0.0492	0.04866	0.05861	0.05838	0.06146	0.0644	0.06484	0.06659	0.05453	0.05849	0.05906	0.06105	0.06099	0.06076	0.06058	0.06447	0.06584	0.06254	0.05928	0.06478	0.06376	0.06275	0.06503	0.0601	0.06145	0.06067	0.06524	0.06575	0.0645	0.06205	0.06459	0.06476	0.06595	0.06815	0.07033	0.07208	0.06687	0.06622	0.07208	0.07701	0.07442	0.07639	0.07694	0.07543	0.07675
SigmaPII', SigmaPII:		2.786	2.738	2.738	2.656	2.78	2.745	2.551	2.582	2.659	2.508	2.625	2.644	2.709	2.683	2.627	2.582	2.611	2.681	2.566	2.494	2.504	2.452	2.517	2.463	2.542	2.562	2.527	2.442	2.436	2.374	2.447	2.476	2.473	2.516	2.556	2.388	2.339	2.356	2.405	2.327	2.509	2.435	2.441	2.441	2.388	2.357	2.342	2.283	2.406	2.397	2.46	2.498	2.508	2.302	2.243	2.277	2.336	2.28	2.303	2.133	2.342	2.217	2.198	2.253	2.267	2.156	2.105	2.028	2.056	2.103	1.96	1.873	2.026	2.052	2.136	1.849	1.974	1.717	1.714	1.556	1.67	1.74	1.721	2.073	2.065	2.173	2.277	2.293	2.355	1.928	2.068	2.088	2.159	2.157	2.149	2.142	2.28	2.328	2.211	2.096	2.291	2.255	2.219	2.3	2.125	2.173	2.146	2.307	2.325	2.281	2.194	2.284	2.29	2.332	2.41	2.487	2.549	2.365	2.342	2.549	2.723	2.632	2.701	2.721	2.667	2.714
