BRON/SOURCE:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)/ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)

YYYYMMDD  = datum (YYYY=jaar,MM=maand,DD=dag) / date (YYYY=year,MM=month,DD=day)
HH        = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT / time (HH uur/hour, UT. 12 UT=13 MET, 14 MEZT. Hourly division 05 runs from 04.00 UT to 5.00 UT
DD        = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil, 990=veranderlijk) / Mean wind direction (in degrees) for the 10-minute period preceding the observation time stamp (360=north, 90=east, 180=south, 270=west, 0=calm, 990=variable)
FH        = Windsnelheid (in 0.1 m/s) gemiddeld over het afgelopen uur / Mean wind speed (in 0.1 m/s) for the hour preceding the observation time stamp
FF        = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur / Mean wind speed (in 0.1 m/s) for the 10-minute period preceding the observation time stamp
FX        = Hoogste windstoot (3 seconde gemiddelde windsnelheid; in 0.1 m/s) gemeten in het afgelopen uur / Maximum wind gust (3 second mean wind speed; in 0.1 m/s) in the preceding hour
T         = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
TD        = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Dew point temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
P         = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming / Air pressure (in 0.1 hPa) reduced to mean sea level, at the time of observation
VV        = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km) / Horizontal visibility at the time of observation (0=less than 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=more than 70km)
N         = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar) / Cloud cover (in octants), at the time of observation (9=sky invisible)
U         = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming / Relative atmospheric humidity (in percents) at 1.50 m at the time of observation
WW        = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. / Present weather code (00-99), description for the hourly division.
IX        = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen) / Indicator present weather code (1=manned and recorded (using code from visual observations), 2,3=manned and omitted (no significant weather phenomenon to report, not available), 4=automatically recorded (using code from visual observations), 5,6=automatically omitted (no significant weather phenomenon to report, not available), 7=automatically set (using code from automated observations)
M         = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming / Fog 0=no occurrence, 1=occurred during the preceding hour and/or at the time of observation
R         = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming / Rainfall 0=no occurrence, 1=occurred during the preceding hour and/or at the time of observation
S         = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming / Snow 0=no occurrence, 1=occurred during the preceding hour and/or at the time of observation
O         = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming / Thunder  0=no occurrence, 1=occurred during the preceding hour and/or at the time of observation
Y         = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming / Ice formation 0=no occurrence, 1=occurred during the preceding hour and/or at the time of observation
TZ        = Zeewater temperatuur (in 0.1 graden Celsius) tijdens de waarneming / Sea surface temperature (in 0.1 degrees Celsius) at the time of observation

# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,   TD,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y,   TZ

  208,20210101,    1,  290,   60,   60,   90,   59,   27,10039,   75,    8,   80,   23,    7,    0,    1,    0,     ,    0,     
  208,20210101,    2,  290,   40,   40,   70,   60,   34,10042,   70,    2,   83,   23,    7,    0,    1,    0,     ,    0,     
  208,20210101,    3,  280,   30,   30,   40,   63,   35,10045,   70,    1,   82,    1,    7,    0,    0,    0,     ,    0,     
  208,20210101,    4,  360,   30,   30,   50,   62,   30,10045,   75,    7,   80,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,    5,  990,   10,   10,   40,   55,   30,10047,   70,    1,   83,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,    6,  310,   10,   10,   20,   63,   31,10050,   75,    3,   79,    3,    7,    0,    0,    0,     ,    0,     
  208,20210101,    7,  300,   10,   20,   20,   67,   32,10055,   75,    5,   78,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,    8,  290,   40,   30,   50,   66,   32,10057,   75,    6,   78,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,    9,  260,   30,   30,   40,   59,   36,10063,   70,    8,   85,   51,    7,    0,    1,    0,     ,    0,     
  208,20210101,   10,  300,   40,   50,   50,   70,   21,10066,   75,    4,   70,   22,    7,    0,    1,    0,     ,    0,     
  208,20210101,   11,  290,   40,   30,   60,   71,   24,10068,   75,    1,   71,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,   12,  270,   40,   40,   50,   70,   32,10067,   75,    8,   76,    3,    7,    0,    0,    0,     ,    0,     
  208,20210101,   13,  260,   40,   40,   50,   69,   42,10067,   70,    8,   82,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,   14,  280,   50,   40,   60,   67,   36,10068,   75,    8,   80,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,   15,  240,   40,   30,   60,   62,   37,10072,   70,    8,   84,   23,    7,    0,    1,    0,     ,    0,     
  208,20210101,   16,  240,   50,   50,   60,   58,   37,10075,   70,    8,   86,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,   17,  250,   50,   60,   70,   59,   43,10077,   61,    8,   89,   81,    7,    0,    1,    0,     ,    0,     
  208,20210101,   18,  230,   50,   60,   70,   53,   38,10078,   70,    8,   89,   51,    7,    0,    1,    0,     ,    0,     
  208,20210101,   19,  240,   50,   40,   70,   51,   39,10083,   63,    8,   92,   81,    7,    0,    1,    0,     ,    0,     
  208,20210101,   20,  240,   50,   50,   60,   47,   39,10086,   65,    2,   94,   23,    7,    0,    1,    0,     ,    0,     
  208,20210101,   21,  240,   50,   50,   60,   52,   45,10090,   65,    8,   94,    3,    7,    0,    0,    0,     ,    0,     
  208,20210101,   22,  260,   40,   30,   60,   52,   47,10092,   65,    8,   95,     ,    5,    0,    0,    0,     ,    0,     
  208,20210101,   23,  250,   30,   30,   50,   56,   44,10093,   65,    8,   91,   23,    7,    0,    1,    0,     ,    0,     
  208,20210101,   24,  250,   40,   40,   50,   58,   42,10096,   70,    8,   89,    2,    7,    0,    0,    0,     ,    0,     
  208,20210102,    1,  290,   40,   40,   70,   73,   34,10094,   75,    6,   76,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,    2,  300,   50,   50,   70,   74,   25,10097,   75,    1,   71,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,    3,  300,   50,   50,   60,   73,   31,10099,   75,    2,   74,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,    4,  310,   50,   50,   90,   64,   35,10102,   57,    7,   82,   82,    7,    0,    1,    0,     ,    0,     
  208,20210102,    5,  290,   30,   40,   70,   66,   33,10103,   75,    8,   79,   23,    7,    0,    1,    0,     ,    0,     
  208,20210102,    6,  350,   40,   30,   60,   68,   37,10106,   70,    2,   81,    1,    7,    0,    0,    0,     ,    0,     
  208,20210102,    7,   10,   30,   30,   40,   67,   38,10112,   70,    2,   81,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,    8,   10,   30,   30,   40,   68,   28,10117,   75,    1,   75,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,    9,   10,   30,   30,   40,   68,   32,10122,   75,    0,   77,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,   10,   40,   20,   30,   40,   66,   41,10128,   70,    6,   84,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,   11,   50,   20,   20,   40,   62,   34,10129,   68,    8,   82,   51,    7,    0,    1,    0,     ,    0,     
  208,20210102,   12,   50,   20,   20,   40,   66,   33,10128,   75,    8,   79,   22,    7,    0,    1,    0,     ,    0,     
  208,20210102,   13,   90,   20,   20,   30,   66,   33,10130,   75,    8,   79,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,   14,  110,   30,   30,   40,   60,   40,10132,   64,    6,   86,   23,    7,    0,    1,    0,     ,    0,     
  208,20210102,   15,  100,   30,   30,   50,   65,   31,10135,   72,    8,   78,   23,    7,    0,    1,    0,     ,    0,     
  208,20210102,   16,  110,   20,   20,   30,   62,   35,10140,   63,    7,   83,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,   17,   50,   30,   30,   50,   54,   24,10142,   70,    7,   81,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,   18,   50,   30,   40,   50,   54,   20,10147,   75,    8,   78,    3,    7,    0,    0,    0,     ,    0,     
  208,20210102,   19,   80,   30,   20,   50,   51,   20,10152,   69,    8,   80,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,   20,  990,   10,   10,   30,   47,   32,10155,   70,    8,   90,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,   21,  260,   10,   10,   20,   46,   33,10155,   65,    7,   91,     ,    5,    0,    0,    0,     ,    0,     
  208,20210102,   22,  360,   20,   30,   60,   46,   18,10158,   39,    8,   82,   82,    7,    0,    1,    0,     ,    0,     
  208,20210102,   23,   20,   40,   40,   70,   51,   21,10158,   70,    6,   81,   23,    7,    0,    1,    0,     ,    0,     
  208,20210102,   24,  100,   40,   40,   50,   52,   26,10161,   70,    8,   83,    3,    7,    0,    0,    0,     ,    0,     
  208,20210103,    1,  100,   40,   30,   50,   48,   32,10161,   58,    8,   89,   10,    7,    0,    0,    0,     ,    0,     
  208,20210103,    2,  100,   50,   50,   70,   44,   32,10164,   47,    8,   91,   10,    7,    0,    0,    0,     ,    0,     
  208,20210103,    3,  100,   50,   50,   70,   43,   28,10166,   31,    8,   90,   10,    7,    0,    0,    0,     ,    0,     
  208,20210103,    4,  120,   50,   40,   60,   45,   29,10168,   50,    8,   89,   10,    7,    0,    0,    0,     ,    0,     
  208,20210103,    5,  110,   40,   50,   60,   46,   27,10170,   50,    8,   87,   10,    7,    0,    0,    0,     ,    0,     
  208,20210103,    6,   90,   50,   40,   60,   45,   29,10175,   47,    8,   89,   10,    7,    0,    0,    0,     ,    0,     
  208,20210103,    7,  100,   40,   40,   70,   48,   29,10177,   50,    8,   87,   10,    7,    0,    0,    0,     ,    0,     
