MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;01/01/2021;03:05:00;;-70;-70;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;01/01/2021;07:56:00;;56;56;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;01/01/2021;14:32:00;;-76;-76;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;01/01/2021;21:25:00;;77;77;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;02/01/2021;03:46:00;;-71;-71;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;02/01/2021;08:40:00;;52;52;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;02/01/2021;15:10:00;;-77;-77;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;02/01/2021;21:48:00;;81;81;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;03/01/2021;04:35:00;;-70;-70;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;03/01/2021;09:38:00;;47;47;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;03/01/2021;15:58:00;;-77;-77;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;03/01/2021;22:34:00;;84;84;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;04/01/2021;05:21:00;;-68;-68;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;04/01/2021;10:24:00;;42;42;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;04/01/2021;16:34:00;;-76;-76;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;04/01/2021;23:15:00;;84;84;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;05/01/2021;06:05:00;;-64;-64;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;05/01/2021;08:53:00;;37;37;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;05/01/2021;17:00:00;;-73;-73;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;06/01/2021;00:05:00;;81;81;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;06/01/2021;06:55:00;;-60;-60;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;06/01/2021;09:54:00;;37;37;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;06/01/2021;18:29:00;;-71;-71;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;07/01/2021;00:55:00;;76;76;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;07/01/2021;07:45:00;;-57;-57;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;07/01/2021;11:04:00;;39;39;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;07/01/2021;19:25:00;;-69;-69;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;08/01/2021;01:58:00;;70;70;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;08/01/2021;08:35:00;;-56;-56;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
