MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;18/01/2000;12:15:00;;0,126;+.126E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;16/02/2000;11:56:00;;0,083;+.83E-01;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;12/11/2000;16:09:00;;0,041;+.41E-01;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;23/11/2000;13:16:00;;0,14;+.140E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;21/12/2000;11:19:00;;0,118;+.118E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;18/01/2001;09:47:00;;0,107;+.107E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;19/02/2001;12:21:00;;0,126;+.126E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;12/11/2001;12:37:00;;0,181;+.181E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;12/12/2001;13:13:00;;0,178;+.178E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;10/01/2002;12:46:00;;0,114;+.114E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;07/02/2002;10:50:00;;0,113;+.113E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;15/11/2002;11:36:00;;0,271;+.271E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;13/12/2002;00:00:00;;1,00E+12;1,00E+12;;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;15/01/2003;12:56:00;;0,154;+.154E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
;Blauwe Slenk oost;BLAUWSOT;;;(massa)Concentratie;CONCTTE;ammonium;NH4;14798-03-9;mg/l;uitgedrukt in stikstof / opgeloste fractie;Nnf;Oppervlaktewater;OW;;;Nutrienten mbv autoanalyser;other:A090;Steekbemonstering;SB;13/02/2003;12:02:00;;0,128;+.128E+00;Normale waarde;;;;Definitief;RIKZMON_CHEMIE;;;Pomp;68;;;-100;WATSGL;25831;652065,5092;5899673,033;;;;;;;
